"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -5.76810698482E-003, +0.00000000000E+000
+1.06187500000E+006, -1.81020883692E-003, +0.00000000000E+000
+1.12375000000E+006, -4.93931740729E-003, +0.00000000000E+000
+1.18562500000E+006, -4.71921363765E-003, +0.00000000000E+000
+1.24750000000E+006, -9.72025662736E-003, +0.00000000000E+000
+1.30937500000E+006, -5.19513911156E-003, +0.00000000000E+000
+1.37125000000E+006, -6.92578581736E-003, +0.00000000000E+000
+1.43312500000E+006, -1.07876474882E-002, +0.00000000000E+000
+1.49500000000E+006, -3.79082725923E-003, +0.00000000000E+000
+1.55687500000E+006, -7.46357189543E-003, +0.00000000000E+000
+1.61875000000E+006, -9.48590330926E-004, +0.00000000000E+000
+1.68062500000E+006, -2.42433251771E-003, +0.00000000000E+000
+1.74250000000E+006, -9.26035428243E-003, +0.00000000000E+000
+1.80437500000E+006, -1.18120050494E-002, +0.00000000000E+000
+1.86625000000E+006, -3.16673203510E-003, +0.00000000000E+000
+1.92812500000E+006, -7.33920981922E-003, +0.00000000000E+000
+1.99000000000E+006, -9.03215557177E-003, +0.00000000000E+000
+2.05187500000E+006, -1.11345789297E-002, +0.00000000000E+000
+2.11375000000E+006, -8.71179894951E-003, +0.00000000000E+000
+2.17562500000E+006, -2.72969768531E-003, +0.00000000000E+000
+2.23750000000E+006, -1.17703330466E-002, +0.00000000000E+000
+2.29937500000E+006, -1.21487719957E-002, +0.00000000000E+000
+2.36125000000E+006, -8.54453377544E-003, +0.00000000000E+000
+2.42312500000E+006, -1.24131404440E-002, +0.00000000000E+000
+2.48500000000E+006, -9.76775278120E-003, +0.00000000000E+000
+2.54687500000E+006, -9.92171432432E-003, +0.00000000000E+000
+2.60875000000E+006, -7.82800463732E-003, +0.00000000000E+000
+2.67062500000E+006, -6.18956079218E-003, +0.00000000000E+000
+2.73250000000E+006, -1.14572915852E-002, +0.00000000000E+000
+2.79437500000E+006, -4.62153531325E-003, +0.00000000000E+000
+2.85625000000E+006, -6.19016037957E-003, +0.00000000000E+000
+2.91812500000E+006, -5.05733832797E-003, +0.00000000000E+000
+2.98000000000E+006, -3.32106821399E-004, +0.00000000000E+000
+3.04187500000E+006, -4.05336892618E-003, +0.00000000000E+000
+3.10375000000E+006, -5.28374759994E-003, +0.00000000000E+000
+3.16562500000E+006, -5.07849583422E-003, +0.00000000000E+000
+3.22750000000E+006, -6.87029337598E-003, +0.00000000000E+000
+3.28937500000E+006, -7.67172972389E-003, +0.00000000000E+000
+3.35125000000E+006, -7.76523599030E-003, +0.00000000000E+000
+3.41312500000E+006, -6.47836131758E-003, +0.00000000000E+000
+3.47500000000E+006, -6.47947929513E-003, +0.00000000000E+000
+3.53687500000E+006, -6.65216255023E-003, +0.00000000000E+000
+3.59875000000E+006, -6.75257656470E-003, +0.00000000000E+000
+3.66062500000E+006, -6.66372294476E-003, +0.00000000000E+000
+3.72250000000E+006, -6.14267369700E-003, +0.00000000000E+000
+3.78437500000E+006, -5.44953643424E-003, +0.00000000000E+000
