freq	mag(K)
1.00000000000000000E6	3.21933622083473740E-3
1.10000000000000010E6	3.54306556287040570E-3
1.20000000000000000E6	3.86712275824185790E-3
1.30000000000000000E6	4.19150814753468290E-3
1.39999999999999990E6	4.51622207160592200E-3
1.50000000000000000E6	4.84126487158366370E-3
1.60000000000000010E6	5.16663688886662520E-3
1.70000000000000000E6	5.49233846512375120E-3
1.80000000000000000E6	5.81836994229378930E-3
1.89999999999999990E6	6.14473166258486180E-3
2.00000000000000000E6	6.47142396847404380E-3
2.10000000000000010E6	6.79844720270694580E-3
2.20000000000000020E6	7.12580170829724760E-3
2.29999999999999980E6	7.45348782852630090E-3
2.39999999999999990E6	7.78150590694263840E-3
2.50000000000000000E6	8.10985628736157690E-3
2.60000000000000010E6	8.43853931386472840E-3
2.70000000000000020E6	8.76755533079956000E-3
2.79999999999999980E6	9.09690468277894480E-3
2.89999999999999990E6	9.42658771468066980E-3
3.00000000000000000E6	9.75660477164699990E-3
3.10000000000000010E6	1.00869561990841890E-2
3.20000000000000020E6	1.04176423426619880E-2
3.29999999999999980E6	1.07486635483132110E-2
3.39999999999999990E6	1.10800201622332060E-2
3.50000000000000000E6	1.14117125308793810E-2
3.60000000000000010E6	1.17437410009707180E-2
3.70000000000000020E6	1.20761059194872700E-2
3.79999999999999980E6	1.24088076336696500E-2
3.89999999999999990E6	1.27418464910185270E-2
4.00000000000000000E6	1.30752228392941320E-2
4.09999999999999960E6	1.34089370265157370E-2
4.20000000000000020E6	1.37429894009611120E-2
4.29999999999999980E6	1.40773803111660210E-2
4.40000000000000040E6	1.44121101059237030E-2
4.50000000000000000E6	1.47471791342843140E-2
4.59999999999999960E6	1.50825877455544010E-2
4.70000000000000020E6	1.54183362892963390E-2
4.79999999999999980E6	1.57544251153278610E-2
4.90000000000000040E6	1.60908545737213960E-2
5.00000000000000000E6	1.64276250148035910E-2
5.09999999999999960E6	1.67647367891547020E-2
5.20000000000000020E6	1.71021902476080800E-2
5.29999999999999980E6	1.74399857412495550E-2
5.40000000000000040E6	1.77781236214168840E-2
5.50000000000000000E6	1.81166042396991830E-2
5.59999999999999960E6	1.84554279479362850E-2
5.70000000000000020E6	1.87945950982182360E-2
5.79999999999999980E6	1.91341060428846110E-2
5.90000000000000040E6	1.94739611345239850E-2
6.00000000000000000E6	1.98141607259733330E-2
6.09999999999999960E6	2.01547051703173440E-2
6.20000000000000020E6	2.04955948208878610E-2
6.29999999999999980E6	2.08368300312633000E-2
6.40000000000000040E6	2.11784111552679380E-2
6.50000000000000000E6	2.15203385469713600E-2
6.59999999999999960E6	2.18626125606877950E-2
6.70000000000000020E6	2.22052335509754650E-2
6.79999999999999980E6	2.25482018726359760E-2
6.90000000000000040E6	2.28915178807136190E-2
7.00000000000000000E6	2.32351819304948080E-2
7.09999999999999960E6	2.35791943775073110E-2
7.20000000000000020E6	2.39235555775196400E-2
7.29999999999999980E6	2.42682658865403940E-2
7.40000000000000040E6	2.46133256608175750E-2
7.50000000000000000E6	2.49587352568378980E-2
7.59999999999999960E6	2.53044950313261240E-2
7.70000000000000020E6	2.56506053412443350E-2
7.79999999999999980E6	2.59970665437912900E-2
7.90000000000000040E6	2.63438789964016750E-2
8.00000000000000000E6	2.66910430567454560E-2
8.09999999999999960E6	2.70385590827271120E-2
8.19999999999999930E6	2.73864274324849260E-2
8.30000000000000070E6	2.77346484643903280E-2
8.40000000000000040E6	2.80832225370470700E-2
8.50000000000000000E6	2.84321500092905580E-2
8.59999999999999960E6	2.87814312401871320E-2
8.69999999999999930E6	2.91310665890332430E-2
8.80000000000000070E6	2.94810564153547670E-2
8.90000000000000040E6	2.98314010789062680E-2
9.00000000000000000E6	3.01821009396701530E-2
9.09999999999999960E6	3.05331563578560110E-2
9.19999999999999930E6	3.08845676938997290E-2
9.30000000000000070E6	3.12363353084628590E-2
9.40000000000000040E6	3.15884595624316810E-2
9.50000000000000000E6	3.19409408169165370E-2
9.59999999999999960E6	3.22937794332509530E-2
9.69999999999999930E6	3.26469757729909380E-2
9.80000000000000070E6	3.30005301979140240E-2
9.90000000000000040E6	3.33544430700186420E-2
1.00000000000000000E7	3.37087147515231460E-2
1.01000000000000000E7	3.40818195624793980E-2
1.02000000000000000E7	3.44560823733685060E-2
1.03000000000000000E7	3.48314768378388000E-2
1.04000000000000000E7	3.52081174407425390E-2
1.05000000000000000E7	3.55858809754635310E-2
1.06000000000000010E7	3.59649082382044450E-2
1.06999999999999980E7	3.63451995023528520E-2
1.08000000000000010E7	3.67267493888475730E-2
1.09000000000000010E7	3.71095394114096870E-2
1.10000000000000010E7	3.74936410005090880E-2
1.10999999999999990E7	3.78789827265039620E-2
1.11999999999999990E7	3.82656662909069740E-2
1.13000000000000010E7	3.86537722536902930E-2
1.14000000000000010E7	3.90432601316971000E-2
1.14999999999999990E7	3.94340369515123080E-2
1.15999999999999990E7	3.98262127194413120E-2
1.16999999999999990E7	4.02198070814048410E-2
