freq	mag(K)
1.00000000000000000E6	8.73710417323857770E-4
1.10000000000000010E6	9.61568149774673310E-4
1.20000000000000000E6	1.04951490147961210E-3
1.30000000000000000E6	1.13755080581659510E-3
1.39999999999999990E6	1.22567599643305860E-3
1.50000000000000000E6	1.31389060724663740E-3
1.60000000000000010E6	1.40219477244584280E-3
1.70000000000000000E6	1.49058862649075310E-3
1.80000000000000000E6	1.57907230411369830E-3
1.89999999999999990E6	1.66764594031994800E-3
2.00000000000000000E6	1.75630967038840510E-3
2.10000000000000010E6	1.84506362987230150E-3
2.20000000000000020E6	1.93390795459988760E-3
2.29999999999999980E6	2.02284278067513500E-3
2.39999999999999990E6	2.11186824447843510E-3
2.50000000000000000E6	2.20098448266730080E-3
2.60000000000000010E6	2.29019163217706810E-3
2.70000000000000020E6	2.37948983022160920E-3
2.79999999999999980E6	2.46887921429403570E-3
2.89999999999999990E6	2.55835992216740760E-3
3.00000000000000000E6	2.64793209189545340E-3
3.10000000000000010E6	2.73759586181327560E-3
3.20000000000000020E6	2.82735137053807820E-3
3.29999999999999980E6	2.91719875696987470E-3
3.39999999999999990E6	3.00713816029222160E-3
3.50000000000000000E6	3.09716971997292980E-3
3.60000000000000010E6	3.18729357576480330E-3
3.70000000000000020E6	3.27750986770635680E-3
3.79999999999999980E6	3.36781873612255110E-3
3.89999999999999990E6	3.45822032162552650E-3
4.00000000000000000E6	3.54871476511533460E-3
4.09999999999999960E6	3.63930220778067690E-3
4.20000000000000020E6	3.72998279109964950E-3
4.29999999999999980E6	3.82075665684047380E-3
4.40000000000000040E6	3.91162394706224510E-3
4.50000000000000000E6	4.00258480411568750E-3
4.59999999999999960E6	4.09363937064389120E-3
4.70000000000000020E6	4.18478778958306740E-3
4.79999999999999980E6	4.27603020416330360E-3
4.90000000000000040E6	4.36736675790931270E-3
5.00000000000000000E6	4.45879759464119820E-3
5.09999999999999960E6	4.55032285847521670E-3
5.20000000000000020E6	4.64194269382452430E-3
5.29999999999999980E6	4.73365724539995900E-3
5.40000000000000040E6	4.82546665821080540E-3
5.50000000000000000E6	4.91737107756555150E-3
5.59999999999999960E6	5.00937064907267350E-3
5.70000000000000020E6	5.10146551864140730E-3
5.79999999999999980E6	5.19365583248252350E-3
5.90000000000000040E6	5.28594173710910910E-3
6.00000000000000000E6	5.37832337933734370E-3
6.09999999999999960E6	5.47080090628728930E-3
6.20000000000000020E6	5.56337446538367790E-3
6.29999999999999980E6	5.65604420435668940E-3
6.40000000000000040E6	5.74881027124275870E-3
6.50000000000000000E6	5.84167281438536270E-3
6.59999999999999960E6	5.93463198243580510E-3
6.70000000000000020E6	6.02768792435404070E-3
6.79999999999999980E6	6.12084078940944390E-3
6.90000000000000040E6	6.21409072718164700E-3
7.00000000000000000E6	6.30743788756132420E-3
7.09999999999999960E6	6.40088242075099870E-3
7.20000000000000020E6	6.49442447726587440E-3
7.29999999999999980E6	6.58806420793462430E-3
7.40000000000000040E6	6.68180176390023030E-3
7.50000000000000000E6	6.77563729662078360E-3
7.59999999999999960E6	6.86957095787031680E-3
7.70000000000000020E6	6.96360289973961690E-3
7.79999999999999980E6	7.05773327463708180E-3
7.90000000000000040E6	7.15196223528949910E-3
8.00000000000000000E6	7.24628993474293100E-3
8.09999999999999960E6	7.34071652636351150E-3
8.19999999999999930E6	7.43524216383829370E-3
